Date,Open,High,Low,Close,Volume
2025-02-07,263.0000,264.9000,260.0000,264.2000,171985
2025-02-06,263.0000,267.2000,261.7500,262.4000,565871
2025-02-05,260.0000,265.6500,260.0000,261.2500,516555
2025-02-04,250.5500,256.6000,250.5500,256.0500,265868
2025-02-03,252.0000,252.0000,242.3000,249.5500,598146
2025-02-01,262.7000,262.7000,248.1500,255.6000,878801
2025-01-31,258.5500,261.7500,254.4000,261.2000,358220
2025-01-30,259.5500,260.7500,256.6000,257.1000,324725
2025-01-29,257.9000,258.0000,251.6000,257.0000,421492
2025-01-28,262.1000,263.9500,254.2500,258.2000,735139
2025-01-27,264.0000,264.9500,258.4000,261.3000,589575
2025-01-24,274.3000,279.2500,262.8500,263.8000,525540
2025-01-23,284.7000,284.7000,270.4000,271.1500,723295
2025-01-22,283.6000,283.6000,274.1000,277.7000,269725
2025-01-21,278.7000,287.0000,278.3000,280.2000,526390
2025-01-20,275.3500,278.4000,268.8000,277.2000,362213
2025-01-17,269.4000,275.1500,267.4000,273.6500,356354
2025-01-16,268.9500,268.9500,263.6000,267.0500,322539
2025-01-15,274.9500,275.6000,265.4500,267.1500,308480
2025-01-14,265.5000,271.6000,265.5000,270.5000,303852
2025-01-13,273.9500,274.5500,264.2500,265.3000,257887
2025-01-10,280.1500,283.4000,275.8000,277.6000,304995
2025-01-09,288.1000,288.1000,279.2500,280.1500,208601
2025-01-08,282.0500,287.9000,280.6500,286.8000,146508
2025-01-07,287.6000,290.5500,280.7500,282.7500,230110
2025-01-06,296.4000,297.0000,284.0500,284.7000,222253
2025-01-03,296.3500,299.2000,294.4500,296.3500,205278
2025-01-02,295.0000,297.5000,291.8500,296.9000,122760
2025-01-01,293.0000,295.8000,290.3500,295.2500,83149
2024-12-31,292.9000,294.3000,291.0000,292.3500,69666
2024-12-30,293.8500,295.1500,289.7000,293.2500,141264
2024-12-27,295.3500,297.2500,292.5000,293.4500,175980
2024-12-26,295.8000,299.2000,292.6000,295.6000,666450
2024-12-24,289.5500,295.4500,287.4000,291.8500,294389
2024-12-23,293.8000,294.9500,287.9500,289.1000,763933
2024-12-20,294.4500,299.1500,287.5000,288.9500,475223
2024-12-19,283.8000,295.9000,283.0000,294.6000,681469
2024-12-18,292.6500,292.6500,287.7000,288.4000,297927
2024-12-17,300.0500,300.0500,292.2500,293.0500,238069
2024-12-16,301.5500,301.5500,295.9500,298.1500,316803
2024-12-13,300.2500,305.0500,296.1000,301.6000,526312
2024-12-12,307.4000,307.4000,301.3000,302.1500,589754
2024-12-11,303.8500,308.9500,302.3500,307.4500,721904
2024-12-10,303.3500,306.6000,301.0000,303.4500,215000
2024-12-09,301.9500,304.2500,299.2000,303.4000,672768
2024-12-06,298.3500,303.8000,296.5000,299.5500,690738
2024-12-05,295.7500,298.3000,291.3500,297.0500,205761
2024-12-04,294.9500,299.5000,293.0000,293.6000,478130
2024-12-03,297.0500,298.3000,292.1500,294.1500,786029
2024-12-02,293.0000,295.9500,290.6000,294.3000,286021
2024-11-29,293.3000,294.2500,289.4000,292.3000,175110
2024-11-28,294.2000,298.8500,289.5500,290.8500,595116
2024-11-27,298.6000,298.6000,291.2000,293.5000,214648
2024-11-26,298.0000,300.9000,293.3000,293.7500,320277
2024-11-25,291.6500,304.4000,291.6500,296.7500,485044
2024-11-22,282.4500,286.9000,281.0000,285.8000,353181
2024-11-21,287.5500,287.5500,279.5000,282.4500,375595
